gammaNA,gammaHA,mu,dmax
0.101320451135,6.0117424472500005,0.215615743242,0.138274707882
1.78908561148,7.285030428230001,0.329277792831,0.16864856024799998
0.369378820093,7.406067628300001,0.253886151132,0.150888839846
2.44968369928,7.4935606875800005,0.26158122865,0.157185830265
2.38158942348,7.493121349419999,0.38727059025399996,0.146297834502
2.28570744436,7.2545164495000005,0.200306075143,0.272304112451
2.4507690741799997,7.1184940248899995,0.669617677775,0.102674274128
2.4957898217700003,7.36583600875,0.217991508258,0.245151731723
2.45933745866,7.47434671802,0.20955004319499998,0.211690275726
2.48340987244,7.19445281237,0.20172925405,0.270186323288
2.45717017607,7.43523346602,0.507890614511,0.11138286242
2.4076684086599998,7.47858443335,0.527872384564,0.107078401095
1.9788254415900002,6.72694032488,0.648292272086,0.10161856073999999
2.03999761498,7.48952708198,0.230828427566,0.234218120378
1.9439423700299998,7.364786114419999,0.695100242886,0.100239191987
2.14498337811,2.10903505965,0.29437568152,0.10041632616
0.10064879620200001,6.33911848465,0.218226541837,0.153386532889
2.2769128204199998,6.14148624299,0.642764875946,0.101783055065
0.101922996788,3.41739740441,0.300692573139,0.106694435945
2.49077136315,7.46616108084,0.315370468377,0.177153866501
2.48971322582,5.28184199756,0.600516413107,0.10313003221799999
1.9810080130400003,7.44014435841,0.200942696385,0.264122484923
1.2126705515,7.49000348493,0.200166117432,0.27695688124
2.2143954598900004,7.446124211939999,0.201241997924,0.26345874660199997
2.24675815792,7.4554386267299995,0.20270849161499999,0.261618594687
1.0521930892,7.34526167865,0.20005307218499999,0.27564408149
2.49071823758,7.415548231810001,0.508561148662,0.11107102691199999
2.48705862522,7.48671121156,0.200547678099,0.265161508142
2.4790010008500003,7.49498802752,0.219612781476,0.19997403241099998
2.0135143710900003,7.487083870449999,0.29950507935,0.11839988005799999
2.4873259552099998,7.18457532582,0.542226633256,0.101955022443
2.43931930392,7.462985033380001,0.41552543231,0.13675439139599999
2.21308140727,7.4429130397000005,0.33712567804399995,0.17611354170200003
2.4866809562200003,7.3937369002899995,0.200071595843,0.264392092066
2.2853592042299997,7.43068403082,0.201848206933,0.262654093734
2.48196508867,7.37741555978,0.20046859436500003,0.264187163216
0.102930261576,5.888163271849999,0.20902462441300002,0.141197812226
2.49677415337,7.48051558518,0.525798845716,0.107571919473
2.4658435656,7.35763709541,0.30124440551,0.11807339590600001
2.30020917273,7.44976491916,0.647634162934,0.103010552196
2.4608076176900004,7.47237050088,0.317022091428,0.107082025346
2.24432127473,7.4108653969399985,0.20024688841,0.264783432434
0.10275389020199999,6.23325717523,0.210340611646,0.160000471339
2.45924479132,7.489253838380001,0.501133214442,0.11317214754
2.40006287364,7.44724925337,0.20058053771499998,0.26454971816100004
2.48007929815,7.4989427076899995,0.480202775598,0.118657681587
0.319381376383,2.12315889981,0.2,0.100395290225
1.94432725435,6.68670079117,0.200541528106,0.26455375220800004
2.39952766613,6.66007862961,0.5174975451680001,0.10195469070900001
2.35500313911,7.479423785960001,0.20044915698600002,0.265286770059
2.30649017855,7.47639679142,0.200313889291,0.265365522127
1.8262412701700002,6.680623660809999,0.6627976614159999,0.101252625243
0.861081401324,4.58836224749,0.398796349918,0.10129987850500001
2.3158239853099998,7.4845510287899994,0.201314271302,0.263760620663
1.75636833513,7.48965060033,0.201321751074,0.275574970764
2.09284092708,7.424456887180001,0.242856023291,0.23782789954999997
2.33566016033,7.3027626133300005,0.5228448917440001,0.107121661317
1.29323266757,1.42596381998,0.2,0.10054788467800001
2.35272937763,7.232620350589999,0.20024078209100002,0.274071579452
