betaNA_MF59,betaHA_MF59,betaAb_MF59,betaNA_AS03,betaHA_AS03,betaAb_AS03,betaNA_Diluvac,betaHA_Diluvac,betaAb_Diluvac
1.7849068593900002,1.0008180939700002,4.817094548869999,1.5477947842200002,1.0061373661700002,21.911046155500003,1.58228938287,1.0032547118000001,1.03671060894
1.8024160587599998,1.01543137401,18.061929013900002,1.5626601791799999,1.00712543748,31.4272380409,1.61947947902,1.0,1.25253921271
1.6543604164399999,1.01312180432,22.662801771199998,1.5555084900299998,1.0012941849099999,35.2417006134,1.4634155327399998,1.00037516403,1.0404545856
1.62431652588,1.00000485221,34.209750152800005,4.98863145189,2.55955556238,20.335319077,1.1296298800700002,1.7737163247499999,1.01796110755
1.55636305369,1.0048914082200002,35.0557405302,3.70379031944,1.34311033662,58.6109116751,1.5087249749399998,1.0009019812,2.9327230496900003
1.25740170699,1.0051600088500001,30.077419501799998,3.7956030915400003,1.29946856577,59.9677110413,1.47695140873,1.0156604815,2.90288590722
1.6628160017299998,1.0015913489700001,23.789825462399996,1.63027994775,1.00230996718,36.6988795656,1.46624156181,1.0021440039,1.01278710067
1.7656548029400003,1.02127782319,20.3166232774,1.6213896834000001,1.00254257153,34.921228684,1.56231086555,1.00050385945,1.02064976876
1.65818662561,1.0000000034299998,17.390144285999998,1.62957933135,1.00610398881,12.3965961218,1.1932878413799999,1.00091860908,1.00261688266
4.09749245204,1.2772320346500001,9.2538381538,3.6727110417400004,1.33735224661,59.7953459708,1.0199980075900001,1.7816448646599998,1.0072963611
1.5459763307299998,1.0059936813099999,22.050714399,1.76951376221,1.04042603447,25.9277476579,1.64363963877,1.0,1.2176281847200001
1.63207925463,1.00586257662,12.5485158142,1.7198266952599999,1.00753255166,3.9919364539899997,1.0141167883700002,1.00403910826,1.01486871344
1.66360501417,1.00096019399,12.5077507356,1.48122847516,1.00120157999,18.7795495272,1.25204015483,1.0,1.0
1.61100264554,1.0000000002200002,6.13300809359,1.6336492079700002,1.00426760866,10.5215988325,1.00029145214,1.00003562882,1.00001926373
1.61476505113,1.00016795156,40.1462147673,3.64417475506,1.42722653405,59.5261214138,1.6513645448299998,1.00279099256,3.02167300189
1.5710770411200001,1.00062405787,34.2140034508,1.32270644211,1.90038569406,52.2263833528,1.6420002515,1.00095728044,2.82666624959
2.4391473995,1.0052988639899998,20.4223559282,4.95677116518,2.4125964091900003,22.0812139496,1.00010563252,1.78124972457,1.0
1.6721514047100001,1.0056270264899998,24.2990378277,1.73777144437,1.00419253409,36.4821219242,1.6275083939500001,1.00126979511,1.0161824797799999
1.82544327944,1.00175883551,24.2183317113,1.5425075541799997,1.01824586569,38.6823197789,1.587726473,1.0012653917399998,1.26425933498
1.64156421785,1.0007482295799999,12.018384553399999,1.6041491594400001,1.0001645753200001,12.207337259,1.0318745080299998,1.00301389128,1.00646933639
1.5387952845100001,1.00405597276,4.96803176001,1.66728668033,1.00046444371,18.77562972,1.0063366221899999,1.00484525959,1.0100368424
1.58050395537,1.00000001697,7.04058275043,1.51413198331,1.0015355575799998,3.9346728605199996,1.0,1.0,1.0
1.6876097910899999,1.00246926217,11.1482235471,1.60237947831,1.00046169282,12.488912385299999,1.0,1.0,1.0
1.72768842035,1.02321326661,13.0759689406,1.66030277488,1.01322045253,4.70834922006,1.0,1.0,1.0
1.74217679721,1.0007837261499999,17.8000045054,1.61981720611,1.00143035421,41.5477751846,1.6581189277000001,1.00581086176,1.3528282897
1.70802844974,1.00275336424,17.449348193,1.55029406497,1.0263206926700001,12.3434653471,1.0,1.0,1.0
1.7222193937999999,1.0067499354,13.5801489262,1.5154131564,1.0,8.584000627,1.50143269721,1.0,1.09965131943
1.58574588161,1.0,5.3607001322,1.74706380007,1.0005912862000002,17.6539423519,1.0,1.0,1.0
1.6397375792200002,1.00050373504,5.12723932513,1.498345819,1.00030271313,12.9320826697,1.0,1.0,1.0
1.7593821154499998,1.00039899344,31.396189803899997,4.99897273487,2.37791985474,22.2888610718,1.00865256352,1.77505529802,1.01011048845
1.70917243712,1.00345563659,11.0487932421,1.67554924348,1.00338691454,12.8036771053,1.2408074152500002,1.00002155617,1.000741631
1.54301353428,1.0,13.1736929665,1.89804455428,1.02906402583,5.24165227929,1.07153818667,1.0001407135200002,1.00259100067
1.54607121794,1.00132896235,12.4016679728,1.5655463604799997,1.01205099376,10.4617392411,1.0,1.0,1.0
1.62267167175,1.00046191333,5.43250953158,1.75869566729,1.00800635703,18.9583561299,1.03787571787,1.00000000195,1.0
1.7945496247200001,1.0148458402,23.4161771077,1.60512357521,1.00073595258,38.2189226624,1.5944158253,1.00189425237,1.0394077994600002
1.49975361806,1.00898647872,11.313159849200002,1.5844721056,1.0,13.641774968800002,1.1756330292000001,1.0,1.0
1.73442315021,1.00034445378,18.4115236293,1.6752908273500002,1.00009007846,10.597891280199999,1.0,1.0,1.0
2.79300659389,1.06663638839,16.6803158475,3.8294944612300004,1.2828619828799999,59.975164533000004,1.00623589457,1.77176184464,1.02441830854
1.6151571065,1.00010378983,34.1697306092,4.962237751619999,2.107878663,26.346659536399997,1.0120528849200001,1.78005616229,1.00024899265
1.6665392133,1.0016597330399999,11.7894892248,1.61603009656,1.00654346715,14.916170691400001,1.5012018420200002,1.00111086125,1.08808681348
